filepath,lines_of_code,lines_of_code_hit,coverage_percent,untested_code_lines
lib/pb/dto/dto.dart,4,0,0.00,7;8;10;12
lib/pb/dto/dto_expand.dart,21,0,0.00,25;26;28;30;33;36;37;45;46;48;50;54;56;64;65;67;69;73;74;77;78
lib/pb/dto/dto_sort.dart,43,0,0.00,18;20;21;23;24;26;27;29;30;36;38;40;44;45;47;48;50;51;67;68;70;72;75;78;79;87;88;90;92;96;98;106;107;109;111;113;115;120;121;124;126;128;129
lib/src/back_relation.dart,1,0,0.00,10
lib/src/collection_schema.dart,12,0,0.00,10;11;12;16;18;19;20;23;25;28;29;30
lib/src/dart_dto_dumper.dart,202,0,0.00,12;14;17;21;23;24;26;75;76;77;78;81;82;83;84;85;86;88;89;90;92;93;101;106;107;108;109;110;112;114;115;116;117;118;121;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;145;147;148;150;151;152;154;155;157;158;159;160;161;164;165;166;172;173;174;175;176;177;178;179;181;182;183;184;185;186;192;193;194;195;196;197;199;202;203;204;205;206;207;208;210;211;216;221;225;229;231;232;233;235;236;237;239;240;241;245;247;249;250;252;253;258;260;261;262;266;268;272;281;286;291;295;298;300;301;306;309;310;311;312;313;315;316;319;320;323;326;329;330;332;336;337;338;339;340;341;342;343;345;347;350;356;357;358;359;361;362;363;364;365;366;367;368;369;371;372;373;375;377;378;379;381;387;388;390;391;392;393;395;397;400;401;407;410;411;412;413;414;417;418;422;423;425;427;429;433;434
lib/src/dumper.dart,43,0,0.00,12;16;17;18;20;22;25;29;31;32;36;37;40;57;59;60;65;67;68;69;70;74;76;78;79;83;87;88;89;90;91;93;95;96;99;100;101;102;103;104;105;106;107
lib/src/index.dart,17,0,0.00,7;14;20;21;26;27;28;29;31;32;33;34;36;38;46;47;48
lib/src/literal.dart,64,0,0.00,1;4;5;6;7;8;9;10;11;12;13;14;16;20;21;22;23;24;26;28;31;32;33;34;35;36;38;39;40;42;45;46;48;49;50;51;53;56;58;60;61;62;63;64;66;67;68;69;70;71;72;73;74;75;76;77;78;79;81;84;87;88;89;90
lib/src/pocket_base_schema.dart,29,0,0.00,11;13;17;18;19;20;23;24;25;27;28;29;36;39;40;41;46;51;53;55;56;57;58;59;60;61;62;65;66
lib/src/pocketbase_converter.dart,24,0,0.00,93;94;95;99;100;102;107;108;110;113;115;118;120;123;125;127;130;132;134;137;139;142;144;145
lib/src/strings.dart,6,0,0.00,3;4;7;8;11;12
lib/src/tools/credentials_config.dart,9,0,0.00,14;15;16;18;19;23;25;26;28
lib/src/tools/credentials_config.g.dart,8,0,0.00,9;10;11;12;13;14;19;20
lib/src/tools/credentials_config.g.dart,8,0,0.00,9;10;11;12;13;14;19;20
lib/src/tools/dump_schema.dart,34,0,0.00,11;13;15;18;20;22;30;36;39;43;45;46;47;48;52;53;54;59;61;63;65;66;70;71;72;75;80;82;83;84;86;88;89;93
lib/src/tools/dump_schema_config.dart,43,0,0.00,34;35;36;37;43;45;46;47;50;51;52;59;68;71;80;81;83;85;87;88;89;94;96;101;102;108;111;115;117;118;119;120;121;123;124;129;132;133;134;136;137;138;139
lib/src/tools/dump_schema_config.g.dart,22,0,0.00,9;10;11;23;24;25;27;29;30;32;34;35;36;41;42;43;44;45;46;47;48;49
lib/src/tools/dump_schema_config.g.dart,22,0,0.00,9;10;11;23;24;25;27;29;30;32;34;35;36;41;42;43;44;45;46;47;48;49
lib/src/enum_pocketbase_type.dart,31,1,3.23,9;14;15;18;24;25;26;27;28;36;42;45;51;52;53;54;56;60;66;68;69;75;81;82;84;88;94;95;97;101
lib/src/relation_pocketbase_type.dart,27,1,3.70,9;14;19;20;22;24;27;33;36;45;51;52;53;55;58;62;68;69;70;79;85;86;88;92;98;105
lib/src/pocketbase_type.dart,21,1,4.76,29;34;36;43;44;45;47;49;56;61;63;68;70;75;77;82;84;89;91;97
lib/pb/dto/dto_sort.dart,43,3,6.98,20;21;26;27;29;30;36;38;40;44;45;47;48;50;51;67;68;70;72;75;78;79;87;88;90;92;96;98;106;107;109;111;113;115;120;121;124;126;128;129
lib/src/file_pocketbase_type.dart,14,1,7.14,8;13;19;22;28;35;44;50;57;63;70;76;83
lib/pb/dto/file_dto.dart,43,4,9.30,43;44;65;70;72;74;82;91;96;98;100;101;102;103;107;113;121;126;128;130;131;132;136;142;150;155;157;159;160;161;165;171;180;185;187;189;190;191;195
lib/src/tools/credentials_config.dart,9,1,11.11,14;15;16;18;19;25;26;28
lib/src/tools/dump_schema_config.dart,43,7,16.28,36;37;46;47;51;52;71;80;81;83;85;87;88;89;94;96;101;102;108;111;115;117;118;119;120;121;123;124;129;132;133;134;136;137;138;139
lib/src/pocketbase_type_base.dart,3,1,33.33,53;58
lib/pocketbase_api_client.dart,157,57,36.31,18;25;43;44;46;47;51;52;56;57;74;76;79;81;84;86;89;91;102;104;106;108;124;126;127;142;143;150;152;161;162;166;167;168;169;171;172;173;174;175;179;180;181;187;190;195;196;197;199;200;202;203;205;206;210;213;224;225;226;227;228;229;230;234;235;236;238;239;240;241;245;260;265;269;270;274;275;276;277;280;281;282;283;304;312;320;321;322;323;324;325;326;327;331;351;352;376;377;382;389
lib/pb/dto/file_dto.dart,43,16,37.21,65;82;91;96;98;100;101;102;103;107;136;142;150;155;157;159;160;161;165;171;180;185;187;189;190;191;195
lib/pb/dto/relation_dto.dart,10,4,40.00,14;15;18;19;22;28
lib/pb/dto/filter_operand.dart,161,72,44.72,17;53;54;55;56;57;58;59;60;74;78;81;85;88;89;103;105;109;112;116;119;120;123;125;138;140;144;147;151;154;155;158;160;228;232;240;258;272;273;274;292;293;294;295;296;313;321;326;328;330;331;332;333;334;335;336;337;338;339;353;354;357;358;361;362;365;366;369;370;373;374;377;378;381;382;385;386;389;390;393;394;397;398;401;402;405;406;409;410
lib/pb/dto/dto_field.dart,59,29,49.15,180;182;184;187;189;192;193;195;197;198;200;204;207;214;216;218;221;223;226;227;229;230;232;235;237;244;246;248;251;252
lib/pb/dto/dto_filter.dart,18,9,50.00,9;23;24;25;27;36;37;38;40
lib/pb/dto/filter_expression.dart,110,55,50.00,18;19;52;53;67;68;69;70;109;112;127;130;135;150;151;154;155;158;159;162;163;166;167;170;171;174;175;178;179;202;204;205;208;211;220;224;240;243;246;248;249;252;255;258;259;261;263;264;267;268;271;272;273;274;276
lib/pb/dto/filter_operator.dart,17,9,52.94,70;72;74;76;78;80;82;84
lib/pb/dto/filter_operand.dart,161,87,54.04,17;57;58;59;60;81;85;88;89;112;116;119;120;138;140;144;147;151;154;155;158;160;228;240;258;313;321;326;328;330;331;332;333;334;335;336;337;338;339;346;349;350;353;354;357;358;361;362;365;366;369;370;373;374;377;378;381;382;385;386;389;390;393;394;397;398;401;402;405;406;409;410;412;414
lib/pb/dto/dto_filter.dart,18,10,55.56,23;24;25;27;36;37;38;40
lib/src/tools/dump_schema.dart,34,20,58.82,15;20;22;36;45;46;47;48;63;65;66;71;72;93
lib/pb/dto/relation_dto.dart,10,6,60.00,25;27;28;30
lib/pb/dto/dto_field.dart,59,39,66.10,187;200;204;207;214;216;218;221;223;226;227;229;230;232;235;237;246;248;251;252
lib/src/relation_pocketbase_type.dart,27,19,70.37,22;55;79;85;86;88;92;98
lib/src/enum_pocketbase_type.dart,31,22,70.97,52;75;81;82;84;88;94;95;97
lib/src/file_pocketbase_type.dart,14,10,71.43,57;63;70;76
lib/src/pocketbase_converter.dart,24,18,75.00,102;115;118;120;123;125
lib/pb/dto/dto_expand.dart,21,16,76.19,45;46;50;54;56
lib/src/pocketbase_type.dart,21,17,80.95,70;75;77;82
lib/src/index.dart,17,14,82.35,46;47;48
lib/src/dumper.dart,43,38,88.37,25;32;76;106;107
lib/pb/dto/filter_expression.dart,110,99,90.00,13;14;18;19;52;53;67;68;69;70;135
lib/src/collection_schema.dart,12,11,91.67,16
lib/src/pocket_base_schema.dart,29,27,93.10,65;66
lib/src/literal.dart,64,61,95.31,4;16;71
lib/src/dart_dto_dumper.dart,202,198,98.02,17;315;316;345
lib/pb/dto/dto.dart,4,4,100.00,
lib/pb/dto/dto_meta.dart,1,1,100.00,
lib/pb/dto/dto_meta.dart,1,1,100.00,
lib/pb/dto/filter_operator.dart,17,17,100.00,
lib/pb/dto/geopoint_dto.dart,4,4,100.00,
lib/pb/dto/geopoint_dto.dart,4,4,100.00,
lib/pb/dto/geopoint_dto.g.dart,4,4,100.00,
lib/pb/dto/geopoint_dto.g.dart,4,4,100.00,
lib/src/back_relation.dart,1,1,100.00,
lib/src/pocketbase_type_base.dart,3,3,100.00,
lib/src/strings.dart,6,6,100.00,
